DHL,dhl,1-800-225-5345,https://www.dhl.com/,express,//s.trackingmore.com/images/icons/express/dhl.png,DE,http://www.dhl.com/en/express/tracking.html?brand=DHL&AWB=******,DHL
USPS,usps,1 800-275-8777,https://www.usps.com/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/21050.jpg,US,https://tools.usps.com/go/TrackConfirmAction?qtc_tLabels1=******,USPS
FedEx,fedex,1.800.247.4747,https://www.fedex.com/,express,//s.trackingmore.com/images/icons/express/fedex.png,US,https://www.fedex.com/fedextrack/?trknbr=******,FedEx
UPS,ups,+1 800 742 5877,https://www.ups.com/,express,//s.trackingmore.com/images/icons/express/ups.png,US,https://www.ups.com/track?loc=en_US&tracknum=******&requester=WT/,UPS
Royal Mail,royal-mail,03457 740 740,https://www.royalmail.com/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/11030.jpg,GB,https://www.royalmail.com/track-your-item#/tracking-results/******,皇家邮政
China Post,china-post,86 20 11185,https://www.ems.com.cn/english/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/3010.jpg,CN,http://yjcx.chinapost.com.cn/qps/yjcx,中国邮政
China EMS,china-ems,0086-11183,http://www.ems.com.cn/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/3011.jpg,CN,http://www.ems.com.cn/,中国 EMS
Australia Post,australia-post,+61 3 8847 9045,https://auspost.com.au/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/1150.jpg,AU,https://auspost.com.au/mypost/track/#/search,澳大利亚邮政
GLS,gls,,https://www.gls-us.com/,express,//s.trackingmore.com/images/icons/express/gls.png,,https://gls-group.eu/EU/en/parcel-tracking?match=******,GLS
Evri,hermes-uk,0330 808 5456,https://www.evri.com/,express,//s.trackingmore.com/images/icons/express/hermes-uk.png,UK,https://www.evri.com/track/parcel/******/details,Evri
DPD,dpd,,https://www.dpd.com/,express,//s.trackingmore.com/images/icons/express/dpd.png,,https://tracking.dpd.de/status/de_DE/parcel/******,DPD
La Poste,laposte,00 33 810 821 821,https://www.laposte.fr/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/6050.jpg,FR,https://www.laposte.fr/outils/suivre-vos-envois?code=******,法国邮政
Colissimo,colissimo,3634,https://www.colissimo.entreprise.laposte.fr/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/6051.jpg,FR,https://www.laposte.fr/outils/suivre-vos-envois?code=******,Colissimo
YunExpress,yunexpress,400-8575-500,https://www.yunexpress.com/,express,//s.trackingmore.com/images/icons/express/yunexpress.png,CN,http://www.yuntrack.com/track/detail?id=******,云途物流
Yanwen,yanwen,86 400-108-5656,https://www.yw56.com.cn,express,//s.trackingmore.com/images/icons/express/yanwen.png,CN,https://track.yw56.com.cn/cn/querydel?nums=******,燕文
Cainiao,cainiao,9519656,https://global.cainiao.com,express,//s.trackingmore.com/images/icons/express/cainiao.png,CN,https://global.cainiao.com/detail.htm?mailNoList=******&spm=a3708.7860688.0.d01,菜鸟
4PX,4px,0755-23508000,https://track.4px.com,express,//s.trackingmore.com/images/icons/express/4px.png,CN,https://track.4px.com/#/result/0/******,递四方
J&T Express Philippines,jtexpress-ph,(02) 8911-1888,https://www.jtexpress.ph,express,//s.trackingmore.com/images/icons/express/jtexpress-ph.png,PH,https://www.jtexpress.ph/index/query/gzquery.html,J&T Express Philippines
